Region Census Estimate 2010 2011 2012 2013 2014 2015 2016 2017
Florida 1 18,804,564 18,845,537 19,053,237 19,297,822 19,545,621 19,845,911 20,209,042 20,613,477 20,963,613
Georgia 9,687,653 1 9,711,881 9,802,431 9,901,430 9,972,479 10,067,278 10,178,447 10,301,890 10,410,330
Hawaii 1,360,301 1,360,307 1 1,379,329 1,394,804 1,408,243 1,414,538 1,422,052 1,427,559 1,424,393
Idaho 1,567,582 1,567,657 1,570,746 1 1,595,324 1,611,206 1,631,112 1,651,059 1,682,380 1,717,715
Illinois 12,830,632 12,831,572 12,840,503 12,867,454 12,882,510 12,895,129 12,884,493 12,858,913 12,820,527 12,778,828
Indiana 6,483,802 6,484,051 6,490,432 6,516,528 1 6,568,713 6,593,644 6,608,422 6,634,304 6,658,078
lowa 3,046,355 3,046,871 3,050,745 3,066,336 3,076,190 1 3,109,350 3,120,960 3,131,371 3,141,550
Kansas 2,853,118 2,853,123 2,858,190 2,869,225 2,885,257 2,893,212 1 2,909,011 2,910,844 2,908,718
Kentucky 4,339,367 4,339,333 4,348,181 4,369,821 4,386,346 4,404,659 4,414,349 1 4,438,182 4,452,268
Louisiana 4,533,372 4,533,487 4,544,532 4,575,625 4,600,972 4,624,527 4,644,013 4,664,628 1 4,670,560

Maine 1,328,361 1,328,358 1,327,629 1,328,284 1,327,729 1,328,009 1,330,513 1,328,262 1,331,317 1
Maryland 5,773,552 5,773,794 5,788,645 5,839,419 5,886,992 5,923,188 5,957,283 5,985,562 6,003,323 6,023,868
Massachusetts 6,547,629 6,547,785 6,566,307 6,613,583 6,663,005 6,713,315 6,762,596 6,794,228 6,823,608 1

Michigan 9,883,640 9,884,116 9,877,510 9,882,412 9,897,145 9,913,065 9,929,848 9,931,715 1 9,973,114
Minnesota 5,303,925 5,303,927 5,310,828 5,346,143 5,376,643 5,413,479 5,451,079 1 5,522,744 5,566,230
Mississippi 2,967,297 2,968,130 2,970,548 2,978,731 2,983,816 2,988,711 1 2,988,471 2,987,938 2,988,510
Missouri 5,988,927 5,988,950 5,995,974 6,010,275 6,024,367 1 6,056,202 6,071,732 6,087,135 6,106,670
Montana 989,415 989,407 990,697 997,316 1 1,013,569 1,021,869 1,030,475 1,040,859 1,052,482
Nebraska 1,826,341 1,826,305 1,829,542 1 1,853,303 1,865,279 1,879,321 1,891,277 1,905,616 1,915,947
Nevada 2,700,551 2,700,677 1 2,712,730 2,743,996 2,775,970 2,817,628 2,866,939 2,917,563 2,969,905
